title;url;release_date;points;months in top 100;average position in top 100;peak position;months in top 10;current position in top 100;months since leaving top 100
7 Wonders;https://boardgamegeek.com/boardgame/68448/7-wonders;2010;74.29486054505257;139;7.517985611510792;1;101;30;not applicable
Dominion;https://boardgamegeek.com/boardgame/36218/dominion;2008;58.01957991989191;148;17.945945945945947;1;70;54;not applicable
Carcassonne;https://boardgamegeek.com/boardgame/822/carcassonne;2000;52.229935888916756;148;9.10135135135135;3;96;13;not applicable
Splendor;https://boardgamegeek.com/boardgame/148228/splendor;2014;48.09172663452934;97;6.237113402061856;1;85;10;not applicable
Terraforming Mars;https://boardgamegeek.com/boardgame/167791/terraforming-mars;2016;46.429990303745534;68;2.9558823529411766;1;67;5;not applicable
Love Letter;https://boardgamegeek.com/boardgame/129622/love-letter;2012;42.80431093264194;115;19.57391304347826;1;45;51;not applicable
Pandemic;https://boardgamegeek.com/boardgame/30549/pandemic;2008;42.36300881984232;148;18.945945945945947;3;63;81;not applicable
King of Tokyo;https://boardgamegeek.com/boardgame/70323/king-tokyo;2011;39.06307492130237;132;24.454545454545453;2;36;38;not applicable
Wingspan;https://boardgamegeek.com/boardgame/266192/wingspan;2019;38.23939163088228;40;1.3;1;40;1;not applicable
Azul;https://boardgamegeek.com/boardgame/230802/azul;2017;37.41113420934772;55;3.9454545454545453;1;54;4;not applicable
Race for the Galaxy;https://boardgamegeek.com/boardgame/28143/race-galaxy;2007;36.514453196086585;148;31.43918918918919;2;35;64;not applicable
Agricola;https://boardgamegeek.com/boardgame/31260/agricola;2007;34.791294072662815;117;30.905982905982906;2;45;not applicable;5
Codenames;https://boardgamegeek.com/boardgame/178900/codenames;2015;33.18283417050014;81;20.098765432098766;1;31;48;not applicable
The Castles of Burgundy;https://boardgamegeek.com/boardgame/84876/castles-burgundy;2011;32.227388644347876;134;20.05223880597015;8;8;24;not applicable
7 Wonders Duel;https://boardgamegeek.com/boardgame/173346/7-wonders-duel;2015;31.9109638069783;79;7.822784810126582;2;61;9;not applicable
Ticket to Ride;https://boardgamegeek.com/boardgame/9209/ticket-ride;2004;31.5729127768943;148;29.2027027027027;6;11;67;not applicable
Catan;https://boardgamegeek.com/boardgame/13/catan;1995;29.72770135569418;148;32.141891891891895;7;13;55;not applicable
Stone Age;https://boardgamegeek.com/boardgame/34635/stone-age;2008;28.899863768655994;146;37.92465753424658;7;21;not applicable;2
Lords of Waterdeep;https://boardgamegeek.com/boardgame/110327/lords-waterdeep;2012;26.816694529564067;117;36.0940170940171;2;26;not applicable;1
Scythe;https://boardgamegeek.com/boardgame/169786/scythe;2016;25.78688870334258;70;12.085714285714285;1;42;29;not applicable
Patchwork;https://boardgamegeek.com/boardgame/163412/patchwork;2014;24.63626234510745;87;15.574712643678161;4;26;16;not applicable
Dixit;https://boardgamegeek.com/boardgame/39856/dixit;2008;23.77498040967424;130;40.42307692307692;5;11;100;not applicable
Ticket to Ride: Europe;https://boardgamegeek.com/boardgame/14996/ticket-ride-europe;2005;23.188953133349415;148;42.91216216216216;17;0;57;not applicable
Kingdomino;https://boardgamegeek.com/boardgame/204583/kingdomino;2016;23.07684260007702;66;12.848484848484848;2;38;17;not applicable
Gloomhaven;https://boardgamegeek.com/boardgame/174430/gloomhaven;2017;22.883790717298737;63;15.11111111111111;1;36;35;not applicable
Small World;https://boardgamegeek.com/boardgame/40692/small-world;2009;22.688984352166656;103;36.52427184466019;3;21;not applicable;22
Hanabi;https://boardgamegeek.com/boardgame/98778/hanabi;2010;21.829646628808238;109;42.26605504587156;4;16;not applicable;4
Puerto Rico;https://boardgamegeek.com/boardgame/3076/puerto-rico;2002;20.82642855103492;109;43.37614678899082;6;14;not applicable;21
Power Grid;https://boardgamegeek.com/boardgame/2651/power-grid;2004;20.28003389041675;102;39.009803921568626;6;9;not applicable;26
Lost Cities;https://boardgamegeek.com/boardgame/50/lost-cities;1999;20.182889990656278;148;58.08783783783784;22;0;61;not applicable
Jaipur;https://boardgamegeek.com/boardgame/54043/jaipur;2009;20.044245394764754;132;49.64393939393939;18;0;50;not applicable
For Sale;https://boardgamegeek.com/boardgame/172/sale;1997;17.774464715429794;142;67.3943661971831;31;0;94;not applicable
Sushi Go!;https://boardgamegeek.com/boardgame/133473/sushi-go;2013;17.572484162235565;94;40.40425531914894;4;5;76;not applicable
