objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
"3 Little Pigs","320766","5","0","0","1","0","0","0","0","0","0","0","3","","","","","","146135796","5.50917","6.12268","1","23128","148","thing","3 Little Pigs","1","4","20","20","10","2022","2,3,4","2","2–4","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"5 Alive","1961","4","0","0","1","0","0","0","0","0","0","0","3","","","","","","146135945","5.54546","5.76526","1.2368","13930","2514","thing","5 Alive","2","6","30","30","30","1990","3,4,5,6","5","6+","","","","","","","standalone","","","","","","","","","","","","","","",""
"6 nimmt! Junior","40958","7","0","0","1","0","0","0","0","0","0","0","3","","","","","","146135923","5.52177","5.72358","1","18921","673","thing","6 nimmt! Junior","2","5","20","20","20","2009","2,3,4,5","3,4","4–8","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"7 Wonders","68448","10","0","0","1","0","0","0","0","0","0","0","3","","","","","","16865235","7.54732","7.66147","2.3141","118","156525","thing","7 Wonders","2","7","30","30","30","2010","3,4,5,6,7","4,5","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"7 Wonders Duel","173346","7","0","0","1","0","0","0","0","0","0","0","3","","","","","","81934445","7.95109","8.07601","2.2271","24","185278","thing","7 Wonders Duel","2","2","30","30","30","2015","2","2","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"7 Wonders Duel: Pantheon","202976","7","0","0","1","0","0","0","0","0","0","0","3","","","","","","81934450","7.62375","7.99512","2.31","0","51494","thing","7 Wonders Duel: Pantheon","2","2","30","30","30","2016","2","2","10+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"7 Wonders: Armada","247315","7","0","0","1","0","0","0","0","0","0","0","3","","","","","","81934595","6.80493","7.9595","2.7344","0","10848","thing","7 Wonders: Armada","3","7","40","40","40","2018","3,4,5,6,7","5","10+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"7 Wonders: Babel","154638","4","0","0","1","0","0","0","0","0","0","0","3","","","","","","81934587","6.32918","6.83876","2.6525","0","15238","thing","7 Wonders: Babel","2","7","45","45","45","2014","3,4,5,6,7","5","10+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"7 Wonders: Cities","111661","4","0","0","1","0","0","0","0","0","0","0","3","","","","","","81934591","7.34869","7.79578","2.343","0","32081","thing","7 Wonders: Cities","2","8","40","40","40","2012","3,4,5,6,7,8","4,5","10+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"7 Wonders: Edifice","378839","3","0","0","1","0","0","0","0","0","0","0","3","","","","","","146135351","5.83462","7.3673","1.7143","0","3395","thing","7 Wonders: Edifice","3","7","30","30","30","2023","3,4,5,6,7","4,5","10+","","","","","","","expansion","","","","","","","","","","","","","","",""
"7 Wonders: Leaders","92539","10","0","0","1","0","0","0","0","0","0","0","3","","","","","","81934582","7.45862","7.81251","2.2742","0","37459","thing","7 Wonders: Leaders","2","7","40","40","40","2011","3,4,5,6,7","4,5","10+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"The 7th Continent","180263","9","0","0","1","0","0","0","0","0","0","0","3","","","","","","81934969","7.41526","7.72733","2.8969","165","38843","thing","The 7th Continent","1","4","1000","1000","5","2017","1,2","1,2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"The 7th Continent: A Prison of Clouds","312514","9","0","0","1","0","0","0","0","0","0","0","3","","","","","","81935016","5.62121","8.13619","3","0","1651","thing","The 7th Continent: A Prison of Clouds","1","4","10000","10000","5","2020","1,2","1","12+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"The 7th Continent: Comfort Creatures","236854","6","0","0","1","0","0","0","0","0","0","0","3","","","","","","81934994","6.05072","8.09823","2.4286","0","7705","thing","The 7th Continent: Comfort Creatures","1","4","1000","1000","5","2019","1,2","1","12+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"The 7th Continent: Facing the Elements","186987","6","0","0","1","0","0","0","0","0","0","0","3","","","","","","81935000","6.00371","7.95922","2.5","0","7705","thing","The 7th Continent: Facing the Elements","1","4","1000","1000","5","2017","1,2","1","12+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"The 7th Continent: Path of Repentance","185743","7","0","0","1","0","0","0","0","0","0","0","3","","","","","","81934985","5.98883","8.07587","2.1429","0","7656","thing","The 7th Continent: Path of Repentance","1","4","1000","1000","5","2017","1,2","1","8+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"The 7th Continent: Swamp of Madness","184904","9","0","0","1","0","0","0","0","0","0","0","3","","","","","","81934990","6.01253","8.16682","3","0","8346","thing","The 7th Continent: Swamp of Madness","1","4","1000","1000","5","2017","1,2","1,2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
