year;month;position;title;url;release_date
2010;1;1;Dominion;https://boardgamegeek.com/boardgame/36218/dominion;2008
2010;1;2;Agricola;https://boardgamegeek.com/boardgame/31260/agricola;2007
2010;1;3;Pandemic;https://boardgamegeek.com/boardgame/30549/pandemic;2008
2010;1;4;Small World;https://boardgamegeek.com/boardgame/40692/small-world;2009
2010;1;5;Race for the Galaxy;https://boardgamegeek.com/boardgame/28143/race-galaxy;2007
2010;1;6;Carcassonne;https://boardgamegeek.com/boardgame/822/carcassonne;2000
2010;1;7;Catan;https://boardgamegeek.com/boardgame/13/catan;1995
2010;1;8;Power Grid;https://boardgamegeek.com/boardgame/2651/power-grid;2004
2010;1;9;Puerto Rico;https://boardgamegeek.com/boardgame/3076/puerto-rico;2002
2010;1;10;Stone Age;https://boardgamegeek.com/boardgame/34635/stone-age;2008
2010;1;11;Endeavor;https://boardgamegeek.com/boardgame/33160/endeavor;2009
2010;1;12;Ticket to Ride;https://boardgamegeek.com/boardgame/9209/ticket-ride;2004
2010;1;13;Power Grid: Factory Manager;https://boardgamegeek.com/boardgame/44163/power-grid-factory-manager;2009
2010;1;14;Dominion: Seaside;https://boardgamegeek.com/boardgameexpansion/51811/dominion-seaside;2009
2010;1;15;Dominion: Intrigue;https://boardgamegeek.com/boardgame/40834/dominion-intrigue;2009
2010;1;16;Battlestar Galactica: The Board Game;https://boardgamegeek.com/boardgame/37111/battlestar-galactica-board-game;2008
2010;1;17;Arkham Horror;https://boardgamegeek.com/boardgame/15987/arkham-horror;2005
2010;1;18;Through the Ages: A Story of Civilization;https://boardgamegeek.com/boardgame/25613/through-ages-story-civilization;2006
2010;1;19;Dungeon Lords;https://boardgamegeek.com/boardgame/45315/dungeon-lords;2009
2010;1;20;Bohnanza;https://boardgamegeek.com/boardgame/11/bohnanza;1997
2010;1;21;Le Havre;https://boardgamegeek.com/boardgame/35677/le-havre;2008
2010;1;22;Citadels;https://boardgamegeek.com/boardgame/478/citadels;2000
2010;1;23;Ticket to Ride: Europe;https://boardgamegeek.com/boardgame/14996/ticket-ride-europe;2005
2010;1;24;Tobago;https://boardgamegeek.com/boardgame/42215/tobago;2009
2010;1;25;Roll Through the Ages: The Bronze Age;https://boardgamegeek.com/boardgame/37380/roll-through-ages-bronze-age;2008
2010;1;26;Thunderstone;https://boardgamegeek.com/boardgame/53953/thunderstone;2009
2010;1;27;Galaxy Trucker;https://boardgamegeek.com/boardgame/31481/galaxy-trucker;2007
2010;1;28;Twilight Struggle;https://boardgamegeek.com/boardgame/12333/twilight-struggle;2005
2010;1;29;Lost Cities;https://boardgamegeek.com/boardgame/50/lost-cities;1999
2010;1;30;San Juan;https://boardgamegeek.com/boardgame/8217/san-juan;2004
2010;1;31;Vasco da Gama;https://boardgamegeek.com/boardgame/41002/vasco-da-gama;2009
2010;1;32;Chaos in the Old World;https://boardgamegeek.com/boardgame/43111/chaos-old-world;2009
2010;1;33;Ra;https://boardgamegeek.com/boardgame/12/ra;1999
2010;1;34;Dixit;https://boardgamegeek.com/boardgame/39856/dixit;2008
2010;1;35;Kingsburg;https://boardgamegeek.com/boardgame/27162/kingsburg;2007
2010;1;36;Alhambra;https://boardgamegeek.com/boardgame/6249/alhambra;2003
2010;1;37;Tichu;https://boardgamegeek.com/boardgame/215/tichu;1991
