rank;title;url;release_date;points;months in top 100;average position in top 100
1;7 Wonders;https://boardgamegeek.com/boardgame/68448/7-wonders;2010;68.00520655390382;115;5.539130434782609
2;Dominion;https://boardgamegeek.com/boardgame/36218/dominion;2008;54.32888181295828;124;12.258064516129032
3;Carcassonne;https://boardgamegeek.com/boardgame/822/carcassonne;2000;44.52743330192446;124;8.887096774193548
4;Splendor;https://boardgamegeek.com/boardgame/148228/splendor;2014;40.60517450793962;73;4.876712328767123
5;Love Letter;https://boardgamegeek.com/boardgame/129622/love-letter;2012;39.006469697528495;91;13.802197802197803
6;Pandemic;https://boardgamegeek.com/boardgame/30549/pandemic;2008;38.680029079949286;124;13.637096774193548
7;King of Tokyo;https://boardgamegeek.com/boardgame/70323/king-tokyo;2011;35.68830368310604;108;17.90740740740741
8;Agricola;https://boardgamegeek.com/boardgame/31260/agricola;2007;34.1880706390929;113;29.212389380530972
9;Race for the Galaxy;https://boardgamegeek.com/boardgame/28143/race-galaxy;2007;33.214433001098996;124;26.85483870967742
10;Terraforming Mars;https://boardgamegeek.com/boardgame/167791/terraforming-mars;2016;30.89901259923113;44;3.1363636363636362
11;Codenames;https://boardgamegeek.com/boardgame/178900/codenames;2015;29.396696328850872;57;10.789473684210526
12;Ticket to Ride;https://boardgamegeek.com/boardgame/9209/ticket-ride;2004;28.299903255550397;124;23.758064516129032
13;The Castles of Burgundy;https://boardgamegeek.com/boardgame/84876/castles-burgundy;2011;26.96543175567704;110;19.78181818181818
14;Catan;https://boardgamegeek.com/boardgame/13/catan;1995;26.197445019687322;124;28.79032258064516
15;Stone Age;https://boardgamegeek.com/boardgame/34635/stone-age;2008;25.922876490150863;124;33.63709677419355
16;Lords of Waterdeep;https://boardgamegeek.com/boardgame/110327/lords-waterdeep;2012;24.745526897257935;98;26.8265306122449
17;Azul;https://boardgamegeek.com/boardgame/230802/azul;2017;24.219400785147453;31;4.193548387096774
18;Dixit;https://boardgamegeek.com/boardgame/39856/dixit;2008;22.853884812789893;122;37.877049180327866
19;Small World;https://boardgamegeek.com/boardgame/40692/small-world;2009;22.452265112725883;101;35.693069306930695
20;7 Wonders Duel;https://boardgamegeek.com/boardgame/173346/7-wonders-duel;2015;21.813028889087832;55;8.672727272727272
21;Scythe;https://boardgamegeek.com/boardgame/169786/scythe;2016;20.436981904509363;46;6.521739130434782
22;Puerto Rico;https://boardgamegeek.com/boardgame/3076/puerto-rico;2002;20.398120794387403;105;41.75238095238095
23;Power Grid;https://boardgamegeek.com/boardgame/2651/power-grid;2004;20.24000695968026;102;39.23529411764706
24;Hanabi;https://boardgamegeek.com/boardgame/98778/hanabi;2010;19.811448274911253;91;34.824175824175825
25;Ticket to Ride: Europe;https://boardgamegeek.com/boardgame/14996/ticket-ride-europe;2005;19.57697586075291;124;42.314516129032256
26;Patchwork;https://boardgamegeek.com/boardgame/163412/patchwork;2014;18.47665393969092;63;15.34920634920635
27;Lost Cities;https://boardgamegeek.com/boardgame/50/lost-cities;1999;16.84168666744191;123;58.146341463414636
28;Gloomhaven;https://boardgamegeek.com/boardgame/174430/gloomhaven;2017;16.82884999107463;39;11.974358974358974
29;Jaipur;https://boardgamegeek.com/boardgame/54043/jaipur;2009;16.153770380232046;109;52.58715596330275
30;Kingdomino;https://boardgamegeek.com/boardgame/204583/kingdomino;2016;15.718968836340224;42;13.380952380952381
31;Terra Mystica;https://boardgamegeek.com/boardgame/120677/terra-mystica;2012;15.419281419900768;78;37.61538461538461
32;For Sale;https://boardgamegeek.com/boardgame/172/sale;1997;15.389500048791863;120;64.15
33;Pandemic Legacy: Season 1;https://boardgamegeek.com/boardgame/161936/pandemic-legacy-season-1;2015;15.277482388562365;55;30.254545454545454
34;Star Realms;https://boardgamegeek.com/boardgame/147020/star-realms;2014;15.026729465037654;73;32.32876712328767
35;Bohnanza;https://boardgamegeek.com/boardgame/11/bohnanza;1997;14.652460766844925;95;50.63157894736842
36;Wingspan;https://boardgamegeek.com/boardgame/266192/wingspan;2019;14.532284849695733;16;1.6875
37;Sushi Go!;https://boardgamegeek.com/boardgame/133473/sushi-go;2013;14.350714898429324;70;35.142857142857146
38;No Thanks!;https://boardgamegeek.com/boardgame/12942/no-thanks;2004;14.262401815039954;112;64.58928571428571
39;Forbidden Island;https://boardgamegeek.com/boardgame/65244/forbidden-island;2010;14.168310541334364;87;49.10344827586207
